,MAPE,RMSE,MAE,DA
XGBoost,0.060268793314514194,275.5589105288883,236.0694813998487,0.44033613445378156
Prophet,0.0741666616769502,319.83192374124,278.510644937263,0.48795518207282906
LSTM,0.09689643461825544,395.68902247341464,358.1303783245069,0.451123595505618
